series_id,history_length,start_offset,model,horizon,mae,rmse,mape
RSXFS,6,0,Prophet,6,550.9978102358436,612.5584346903654,0.3721750195028304
RSXFS,6,0,Prophet,12,827.5100312810828,1011.6672329440406,0.5465184491563418
RSXFS,6,0,ARIMA,6,3024.389821843792,3400.6890529524744,2.0285947442089873
RSXFS,6,0,ARIMA,12,5558.222605630947,6354.493253432444,3.644924949689685
RSXFS,6,0,LinearRegression,6,1356.4095238095033,1529.6942228199534,0.9104310762311748
RSXFS,6,0,LinearRegression,12,2109.6142857142645,2473.8007728430225,1.3839878536587544
RSXFS,6,198,Prophet,6,42999.35546820511,47305.52614045112,14.77675187467594
RSXFS,6,198,Prophet,12,80766.29837853526,91388.62866022957,27.18614190752079
RSXFS,6,198,ARIMA,6,3461.238583962297,4256.491834496771,1.1830093853593306
RSXFS,6,198,ARIMA,12,7494.207543889352,8934.764509846642,2.5135377588780354
RSXFS,6,198,LinearRegression,6,33858.59523809524,37718.531844980615,11.632993478243993
RSXFS,6,198,LinearRegression,12,65767.14285714286,75007.57714014882,22.12971213211324
RSXFS,6,396,Prophet,6,17002.79568149037,17465.748036226425,2.687001684706664
RSXFS,6,396,Prophet,12,31003.59993812865,35448.08494629002,4.772119506343856
RSXFS,6,396,ARIMA,6,10938.292548876218,11124.89539101416,1.7288424006988559
RSXFS,6,396,ARIMA,12,21283.29018411318,25064.638000358133,3.271253472413983
RSXFS,6,396,LinearRegression,6,7333.1952380952425,7406.202848997515,1.1593456036699998
RSXFS,6,396,LinearRegression,12,15131.70952380953,18474.295546304325,2.3222200941366222
RSXFS,12,0,Prophet,6,981.3174390069859,1241.8141753040675,0.6445044166821255
RSXFS,12,0,Prophet,12,951.6922267943082,1205.6759764906658,0.6086156805281653
RSXFS,12,0,ARIMA,6,2805.1249642811067,3387.7552511392114,1.813712589612958
RSXFS,12,0,ARIMA,12,6050.405256364294,7151.290132692957,3.8059445010180166
RSXFS,12,0,LinearRegression,6,1080.5598290598282,1273.3912129050016,0.7060908028779482
RSXFS,12,0,LinearRegression,12,1590.1371406371447,1867.7204008768254,1.0064281455225965
RSXFS,12,195,Prophet,6,28093.766325665227,30774.511177728113,9.476606022225436
RSXFS,12,195,Prophet,12,46956.87215388444,52029.76945164622,15.599928841235025
RSXFS,12,195,ARIMA,6,8621.668378483018,9914.605460334242,2.9000838451213578
RSXFS,12,195,ARIMA,12,12564.835045149686,13838.077441154071,4.1727670370619565
RSXFS,12,195,LinearRegression,6,28151.755827505815,30807.626560300272,9.496447192314852
RSXFS,12,195,LinearRegression,12,46950.7022144522,51998.458464580886,15.598099003157277
RSXFS,12,390,Prophet,6,12482.722177397052,12705.636150869306,1.9729221605004061
RSXFS,12,390,Prophet,12,23491.727929192315,27318.52315771526,3.6128062101155365
RSXFS,12,390,ARIMA,6,10968.564843521608,11154.658974953449,1.733629922227548
RSXFS,12,390,ARIMA,12,21313.55890963473,25090.34337847009,3.275965301708893
RSXFS,12,390,LinearRegression,6,2348.041375291359,2712.7454411693393,0.3715105406012749
RSXFS,12,390,LinearRegression,12,8030.9537684537645,11600.127413106855,1.2244841558787827
RSXFS,24,0,Prophet,6,2450.1760966264214,3584.7228766513413,1.4656637766229754
RSXFS,24,0,Prophet,12,2323.2159930454923,3089.83381666113,1.366148024507408
RSXFS,24,0,ARIMA,6,3834.0461184756764,4261.322080011678,2.2833559526778235
RSXFS,24,0,ARIMA,12,7211.850027336547,8236.529343324937,4.178845090397673
RSXFS,24,0,LinearRegression,6,2032.5115942028933,2367.60189838414,1.2107603989290194
RSXFS,24,0,LinearRegression,12,2806.9048550724597,3117.1550304602547,1.632206069999752
RSXFS,24,189,Prophet,6,27914.645810401853,28451.499152964883,9.214973690645884
RSXFS,24,189,Prophet,12,28027.65553573542,28658.514734558237,9.13510775978474
RSXFS,24,189,ARIMA,6,8131.377782352036,8848.195139273412,2.675601603289163
RSXFS,24,189,ARIMA,12,12232.127782352036,13197.514479550882,3.9649015530275813
RSXFS,24,189,LinearRegression,6,24756.910144927544,25763.148789220108,8.160200140214743
RSXFS,24,189,LinearRegression,12,35650.10884057971,37772.60754352965,11.568260021659842
RSXFS,24,378,Prophet,6,3463.480310084337,3997.2754901376197,0.5477339755012454
RSXFS,24,378,Prophet,12,12169.909218015906,17944.595918075356,1.8581948810065716
RSXFS,24,378,ARIMA,6,10899.167990449758,11086.402348201416,1.7226549894987768
RSXFS,24,378,ARIMA,12,21244.123289890093,25031.365039510263,3.265156653893528
RSXFS,24,378,LinearRegression,6,3710.8322463768613,3936.933814504624,0.5870050962821056
RSXFS,24,378,LinearRegression,12,9410.65702898555,12725.501233272607,1.4387001808919817
RSXFS,60,0,Prophet,6,2138.2611644292724,2388.9344215142564,1.0788208965838666
RSXFS,60,0,Prophet,12,2036.1531400073945,2314.6731663311534,1.0156979734305136
RSXFS,60,0,ARIMA,6,3038.9978310615893,3284.9112409253,1.5281905506215214
RSXFS,60,0,ARIMA,12,5218.580839558311,5746.031896017133,2.588244245329584
RSXFS,60,0,LinearRegression,6,2042.0899493686545,2651.1933127014195,1.0320200996768623
RSXFS,60,0,LinearRegression,12,2538.45579481956,2940.6069407272635,1.2639099581681459
RSXFS,60,171,Prophet,6,1285.8149434777733,1366.419876227054,0.38394833232534653
RSXFS,60,171,Prophet,12,2034.1149998246594,2634.6812983168843,0.5924582012829401
RSXFS,60,171,ARIMA,6,3806.765538541212,4341.038441874899,1.1326430304571078
RSXFS,60,171,ARIMA,12,9166.098856182565,11096.728530196417,2.660721217869899
RSXFS,60,171,LinearRegression,6,28554.034282671084,28660.49835040989,8.520210172893734
RSXFS,60,171,LinearRegression,12,34665.88739927754,35385.27437593929,10.151459705870668
RSXFS,60,342,Prophet,6,3402.4574014006844,3886.4532445197087,0.5375331578750735
RSXFS,60,342,Prophet,12,7352.055397254434,9447.434942887448,1.1267855680770091
RSXFS,60,342,ARIMA,6,10951.623473045105,11138.004461233142,1.7309506609175282
RSXFS,60,342,ARIMA,12,21296.623427613948,25075.962015161844,3.273328999807163
RSXFS,60,342,LinearRegression,6,12273.660127813288,12485.34198185017,1.9403860062907483
RSXFS,60,342,LinearRegression,12,9561.447763267584,11014.239053353986,1.5028310205120183
RSFSDP,6,0,Prophet,6,1255.1824059137741,1415.0590373758937,7.472578762370473
RSFSDP,6,0,Prophet,12,2124.4453933711834,2365.843115655378,12.366620866400604
RSFSDP,6,0,ARIMA,6,660.4433213270813,750.8517816831126,3.930067707973308
RSFSDP,6,0,ARIMA,12,1009.7819288341756,1106.6977222981643,5.883608842251114
RSFSDP,6,0,LinearRegression,6,1176.9238095238109,1332.3026716852276,7.005144851328375
RSFSDP,6,0,LinearRegression,12,1998.7190476190488,2229.087096628067,11.633476430809777
RSFSDP,6,198,Prophet,6,379.6411633050666,404.7586393893586,1.0317415409926862
RSFSDP,6,198,Prophet,12,483.3423438050765,508.9385696606657,1.3165650179943769
RSFSDP,6,198,ARIMA,6,367.52052469640574,393.2932075636709,0.9988975838140053
RSFSDP,6,198,ARIMA,12,444.3589879444432,466.8962067744899,1.210379042276119
RSFSDP,6,198,LinearRegression,6,212.98253968253871,234.85294255310018,0.5781152856208158
RSFSDP,6,198,LinearRegression,12,177.35714285714252,201.59247468677955,0.482533329947904
RSFSDP,6,396,Prophet,6,1489.0454010530473,1695.1806032392412,1.4915780621548838
RSFSDP,6,396,Prophet,12,2737.054189575773,3068.5863743330733,2.718491885209961
RSFSDP,6,396,ARIMA,6,918.3215130670505,994.7303654978164,0.919684023814926
RSFSDP,6,396,ARIMA,12,1591.2159073153016,1921.5160047791912,1.5741887223872504
RSFSDP,6,396,LinearRegression,6,1520.3952380952494,1727.0949780935737,1.5230121191661026
RSFSDP,6,396,LinearRegression,12,2795.5928571428667,3133.3611943507385,2.7765048099214833
RSFSDP,12,0,Prophet,6,611.828596219994,647.6051128894296,3.5241551761383327
RSFSDP,12,0,Prophet,12,1036.5342918527092,1159.7031373078157,5.866911269840456
RSFSDP,12,0,ARIMA,6,197.0995125501989,270.6759061843782,1.1264007655241568
RSFSDP,12,0,ARIMA,12,435.64342304394296,524.721198818139,2.453093427911455
RSFSDP,12,0,LinearRegression,6,497.2156177156212,517.5639268806607,2.862579560482057
